SID,PC1,PC2,chr
SRR4292229.bam,-0.142482,0.0267574,4
SRR4292230.bam,0.0864599,0.27082,4
SRR4292182.bam,-0.130007,-0.0779485,5
SRR4292183.bam,0.113059,-0.0128659,5
SRR4292184.bam,0.0824254,-0.0619204,5
SRR4292185.bam,0.0851598,-0.181727,5
SRR4292186.bam,0.0831541,-0.169544,5
SRR4292187.bam,0.138377,0.317442,5
SRR4292188.bam,0.142446,-0.11359,5
SRR4292189.bam,-0.27738,-0.0207605,5
SRR4292190.bam,0.14185,0.318564,5
SRR4292191.bam,0.167565,0.0176667,5
SRR4292192.bam,-0.130471,-0.082728,5
SRR4292193.bam,0.142734,0.265412,5
SRR4292194.bam,0.134539,0.0145337,5
SRR4292195.bam,0.140607,-0.115238,5
SRR4292196.bam,-0.121843,-0.0449203,5
SRR4292197.bam,-0.0711942,0.340402,5
SRR4292198.bam,0.171589,0.00033997,5
SRR4292199.bam,0.110436,0.0733982,5
SRR4292200.bam,-0.111352,-0.00348066,5
SRR4292201.bam,-0.124809,-0.0697148,5
SRR4292202.bam,-0.250696,-0.00966662,5
SRR4292203.bam,0.121185,-0.126288,5
SRR4292204.bam,0.0856032,-0.179785,5
SRR4292205.bam,-0.0955879,0.0351916,5
SRR4292207.bam,-0.129161,0.0945324,5
SRR4292208.bam,0.124881,-0.175377,5
SRR4292209.bam,-0.117793,-0.0977407,5
SRR4292210.bam,-0.113296,0.130761,5
SRR4292211.bam,-0.251543,0.0490572,5
SRR4292212.bam,0.0820487,-0.178216,5
SRR4292213.bam,0.0806564,-0.163403,5
SRR4292214.bam,-0.0728007,0.310317,5
SRR4292215.bam,0.173435,-9.63405e-05,5
SRR4292216.bam,-0.279559,-0.00223443,5
SRR4292217.bam,-0.122148,-0.0314757,5
SRR4292218.bam,-0.102351,0.228212,5
SRR4292219.bam,0.160722,0.0104826,5
SRR4292220.bam,-0.13005,-0.0824421,5
SRR4292221.bam,0.12582,0.275406,5
SRR4292222.bam,0.126717,-0.196541,5
SRR4292223.bam,-0.261727,-0.0530905,5
SRR4292224.bam,0.0746304,0.0909603,5
SRR4292225.bam,0.134656,-0.0908125,5
SRR4292226.bam,-0.132051,-0.077106,5
SRR4292227.bam,-0.0940632,-0.0718217,5
SRR4292228.bam,0.172678,0.0506741,5
SRR4292229.bam,-0.111795,-0.103414,5
SRR4292230.bam,0.126949,-0.0452678,5
SRR4292182.bam,-0.1026,0.19982,6
SRR4292183.bam,-0.104858,0.14577,6
SRR4292184.bam,0.146843,-0.0864699,6
SRR4292185.bam,-0.0979172,0.164857,6
SRR4292186.bam,-0.0866614,-0.00377144,6
SRR4292187.bam,0.142558,-0.00689367,6
SRR4292188.bam,-0.100772,-0.232349,6
SRR4292189.bam,0.165769,0.0849959,6
SRR4292190.bam,0.140142,-0.0194288,6
SRR4292191.bam,-0.0969318,-0.233117,6
SRR4292192.bam,0.378651,0.0342266,6
SRR4292193.bam,0.139905,-0.0197807,6
SRR4292194.bam,0.35597,0.0519132,6
SRR4292195.bam,-0.100662,-0.214856,6
SRR4292196.bam,0.162576,0.082764,6
SRR4292197.bam,-0.0955595,-0.219206,6
SRR4292198.bam,-0.0994526,-0.140449,6
SRR4292199.bam,-0.102109,0.107543,6
SRR4292200.bam,0.163577,-0.0885947,6
SRR4292201.bam,-0.101781,0.196227,6
SRR4292202.bam,-0.103034,0.110724,6
SRR4292203.bam,0.157275,-0.0703443,6
SRR4292204.bam,-0.102864,0.137072,6
SRR4292205.bam,-0.103658,0.1185,6
SRR4292207.bam,-0.0764976,0.187035,6
SRR4292208.bam,-0.0868428,-0.147484,6
SRR4292209.bam,-0.103161,0.204611,6
SRR4292210.bam,-0.0956067,0.105591,6
SRR4292211.bam,0.351673,0.0388825,6
SRR4292212.bam,-0.10514,0.131141,6
SRR4292213.bam,0.157574,0.0149002,6
SRR4292214.bam,-0.0946855,-0.219388,6
SRR4292215.bam,-0.0994167,-0.144245,6
SRR4292216.bam,0.161468,0.0110441,6
SRR4292217.bam,0.153688,-0.0878396,6
SRR4292218.bam,0.140367,-0.127759,6
SRR4292219.bam,-0.100056,-0.238325,6
SRR4292220.bam,-0.0895113,-0.00635778,6
SRR4292221.bam,-0.0883237,-0.122244,6
SRR4292222.bam,-0.102875,-0.23779,6
SRR4292223.bam,0.162123,0.0122062,6
SRR4292224.bam,-0.0865139,-0.00261543,6
SRR4292225.bam,-0.103073,-0.250967,6
SRR4292226.bam,-0.100216,0.191545,6
SRR4292227.bam,-0.0817291,0.213121,6
SRR4292228.bam,-0.0943629,-0.0723974,6
SRR4292229.bam,-0.102548,0.199043,6
SRR4292230.bam,-0.0737009,0.122289,6
SRR4292182.bam,-0.105716,-0.0174101,7
SRR4292183.bam,-0.112057,0.246697,7
SRR4292184.bam,0.177773,0.298443,7
SRR4292185.bam,-0.113844,0.0194727,7
SRR4292186.bam,0.18435,0.0323891,7
SRR4292187.bam,-0.109247,0.0179957,7
SRR4292188.bam,0.211666,-0.216354,7
SRR4292189.bam,-0.100065,-0.102134,7
SRR4292190.bam,-0.10653,-0.04428,7
SRR4292191.bam,0.212174,-0.183189,7
SRR4292192.bam,-0.0988359,-0.0765436,7
SRR4292193.bam,-0.108873,-0.0416946,7
SRR4292194.bam,-0.105574,0.226929,7
SRR4292195.bam,0.215635,-0.214572,7
SRR4292196.bam,-0.0991178,-0.101781,7
SRR4292197.bam,-0.115614,0.0442774,7
SRR4292198.bam,0.215276,-0.203529,7
SRR4292199.bam,-0.0999473,0.145847,7
SRR4292200.bam,-0.0949288,-0.0508126,7
SRR4292201.bam,-0.108937,-0.013038,7
SRR4292202.bam,-0.094091,-0.102383,7
SRR4292203.bam,0.187587,0.295128,7
