Results of differential gene expression analysis for cricket responses to larval infestation. Positional information for genes is given in 'Infestation_annotation' tab,,,,,,
baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
176.3707963,-0.35308793,0.180655971,-1.954476937,0.05064484,0.256644342,TOC.1T.00084
282.9715017,0.049290525,0.186732683,0.263963029,0.791808407,0.934737897,TOC.1T.00089
1244.433397,0.188107412,0.090203234,2.085373267,0.037035431,0.214043338,TOC.1T.00086
77.5006045,-0.131658332,0.52121801,-0.252597434,0.800579313,0.937642594,TOC.1T.00096
537.1478912,-0.091304492,0.203958883,-0.447661266,0.65439768,0.874634488,TOC.1T.00097
21.73240051,-0.485791484,1.630256259,-0.297984738,0.765714812,0.923524932,TOC.1T.00098
2.523997758,-0.183255234,3.006054629,-0.060962044,0.951389438,NA,TOC.1T.00099
4.325715033,-0.100217434,0.8392789,-0.119408976,0.90495135,NA,TOC.1T.00101
3667.717159,0.861815013,0.255051682,3.37898189,0.000727548,0.013845356,TOC.1T.00090
973.7360715,-0.027806909,0.121423547,-0.22900755,0.818863048,0.94262236,TOC.1T.00091
10.84084622,1.327716034,2.304083203,0.57624483,0.564449707,0.827463596,TOC.1T.00102
211.3190311,0.585501584,0.181917259,3.218504865,0.001288608,0.021408499,TOC.1T.00105
6.076567085,3.404314311,1.970801217,1.727375791,0.084100196,0.34207908,TOC.1T.00107
164.1530053,0.311391768,0.12760834,2.440214858,0.014678529,0.118708392,TOC.1T.00106
221.8308236,0.2446924,0.22794485,1.073471939,0.283059422,0.625518294,TOC.1T.00108
15.16779671,-0.615041418,0.388767092,-1.582030553,0.113642596,0.40684865,TOC.1T.00110
2.4396375,-0.616173372,2.618781446,-0.235290109,0.813983571,NA,TOC.1T.00109
68.84291362,0.00858512,0.216592347,0.039637225,0.96838235,0.99258172,TOC.1T.00112
7.699011987,-4.462746713,2.28350621,-1.954339644,0.050661063,0.256644342,TOC.1T.00111
387.2008448,-0.64206089,0.360951961,-1.778798728,0.075272766,0.323186545,TOC.1T.00113
571.7149288,0.136086284,0.104051444,1.307875025,0.190915702,0.521835199,TOC.1T.00114
166.9427051,0.422535593,0.130513581,3.237483704,0.001205888,0.020492439,TOC.1T.00116
632.4449316,0.069602569,0.130553084,0.533136154,0.593939333,0.843597841,TOC.1T.00117
